BASE_DE,BASE_YEAR,BASE_MT,BASE_DAY,CTPRVN_CD,CTPRVN_NM,KLEA_VIEWNG_NMPR_CO,KBO_VIEWNG_NMPR_CO,KBL_VIEWNG_NMPR_CO,WKBL_VIEWNG_NMPR_CO,KOVO_VIEWNG_NMPR_CO,SPORTS_VIEWNG_NMPR_CO,KLEA_MATCH_CO,KBO_MATCH_CO,KBL_MATCH_CO,WKBL_MATCH_CO,KOVO_MATCH_CO,SPORTS_MATCH_CO,COLCT_DE,UPDT_DE
20230318,2023,3,18,41,경기,2854.0,0.0,3564.0,0.0,0.0,6418.0,1.0,0.0,1.0,0.0,0.0,2.0,20250721,20250721
20230318,2023,3,18,42,강원,0.0,0.0,1648.0,0.0,0.0,1648.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230318,2023,3,18,44,충남,3762.0,0.0,0.0,0.0,0.0,3762.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230318,2023,3,18,47,경북,7514.0,0.0,0.0,0.0,0.0,7514.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230318,2023,3,18,48,경남,2011.0,0.0,0.0,0.0,0.0,2011.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230318,2023,3,18,50,제주,7078.0,0.0,0.0,0.0,0.0,7078.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230319,2023,3,19,11,서울,0.0,0.0,3115.0,0.0,0.0,3115.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230319,2023,3,19,26,부산,6359.0,0.0,0.0,0.0,0.0,6359.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230319,2023,3,19,27,대구,12253.0,0.0,0.0,0.0,0.0,12253.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230319,2023,3,19,31,울산,15230.0,0.0,0.0,0.0,0.0,15230.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230319,2023,3,19,41,경기,13164.0,0.0,2025.0,0.0,0.0,15189.0,2.0,0.0,1.0,0.0,0.0,3.0,20250721,20250721
20230319,2023,3,19,46,전남,1712.0,0.0,0.0,0.0,0.0,1712.0,1.0,0.0,0.0,0.0,0.0,1.0,20250721,20250721
20230319,2023,3,19,48,경남,0.0,0.0,2529.0,0.0,0.0,2529.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230320,2023,3,20,41,경기,0.0,0.0,2390.0,0.0,0.0,2390.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230321,2023,3,21,31,울산,0.0,0.0,777.0,0.0,0.0,777.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230322,2023,3,22,11,서울,0.0,0.0,2638.0,0.0,0.0,2638.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230323,2023,3,23,42,강원,0.0,0.0,1182.0,0.0,0.0,1182.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230323,2023,3,23,48,경남,0.0,0.0,1639.0,0.0,0.0,1639.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230324,2023,3,24,11,서울,0.0,0.0,3813.0,0.0,0.0,3813.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230324,2023,3,24,31,울산,0.0,0.0,2847.0,0.0,0.0,2847.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230325,2023,3,25,11,서울,0.0,0.0,2187.0,0.0,0.0,2187.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230325,2023,3,25,41,경기,0.0,0.0,1865.0,0.0,0.0,1865.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230325,2023,3,25,42,강원,0.0,0.0,2053.0,0.0,0.0,2053.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230326,2023,3,26,41,경기,0.0,0.0,4929.0,0.0,0.0,4929.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230326,2023,3,26,45,전북,0.0,0.0,3604.0,0.0,0.0,3604.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230326,2023,3,26,48,경남,0.0,0.0,4215.0,0.0,0.0,4215.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230327,2023,3,27,11,서울,0.0,0.0,1300.0,0.0,0.0,1300.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230327,2023,3,27,41,경기,0.0,0.0,1224.0,0.0,0.0,1224.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230329,2023,3,29,11,서울,0.0,0.0,2989.0,0.0,0.0,2989.0,0.0,0.0,1.0,0.0,0.0,1.0,20250721,20250721
20230329,2023,3,29,41,경기,0.0,0.0,3069.0,0.0,0.0,3069.0,0.0,0.0,2.0,0.0,0.0,2.0,20250721,20250721
