"MATCH_SEQ_NO","MATCH_DE","LEA_NM","STDM_NM","HOME_TEAM_NM","AWAY_TEAM_NM"
289,"20241103",정규시즌,창원체육관,LG,현대모비스
290,"20241103",정규시즌,대구체육관,한국가스공사,SK
291,"20241103",정규시즌,부산사직체육관,KCC,KGC
292,"20241104",정규시즌,원주종합체육관,DB,소노
293,"20241105",정규시즌,대구체육관,한국가스공사,KT
294,"20241106",정규시즌,울산동천체육관,현대모비스,SK
295,"20241107",정규시즌,잠실실내체육관,삼성,LG
296,"20241107",정규시즌,안양 정관장 아레나,KGC,KT
297,"20241108",정규시즌,울산동천체육관,현대모비스,DB
298,"20241108",정규시즌,대구체육관,한국가스공사,소노
299,"20241109",정규시즌,수원 KT 아레나,KT,LG
300,"20241109",정규시즌,잠실학생체육관,SK,KCC
301,"20241109",정규시즌,안양 정관장 아레나,KGC,삼성
302,"20241110",정규시즌,원주종합체육관,DB,LG
303,"20241110",정규시즌,대구체육관,한국가스공사,현대모비스
304,"20241110",정규시즌,잠실학생체육관,SK,소노
305,"20241111",정규시즌,수원 KT 아레나,KT,KGC
306,"20241112",정규시즌,원주종합체육관,DB,SK
307,"20241113",정규시즌,고양 소노 아레나,소노,현대모비스
308,"20241114",정규시즌,대구체육관,한국가스공사,DB
309,"20241114",정규시즌,창원체육관,LG,KT
310,"20241121",D리그 1차,이천 LG 챔피언스파크,삼성,KT
311,"20241121",D리그 1차,이천 LG 챔피언스파크,한국가스공사,현대모비스
312,"20241122",D리그 1차,이천 LG 챔피언스파크,KCC,SK
313,"20241122",D리그 1차,이천 LG 챔피언스파크,한국가스공사,LG
314,"20241123",D리그 1차,이천 LG 챔피언스파크,KCC,KT
315,"20241123",D리그 1차,이천 LG 챔피언스파크,LG,현대모비스
316,"20241125",D리그 1차,이천 LG 챔피언스파크,KT,KCC
317,"20241125",D리그 1차,이천 LG 챔피언스파크,현대모비스,한국가스공사
318,"20241126",D리그 1차,이천 LG 챔피언스파크,KT,상무
319,"20241126",D리그 1차,이천 LG 챔피언스파크,삼성,한국가스공사
320,"20241127",정규시즌,부산사직체육관,KCC,현대모비스
321,"20241127",정규시즌,창원체육관,LG,SK
322,"20241128",정규시즌,잠실실내체육관,삼성,KT
323,"20241128",정규시즌,원주종합체육관,DB,소노
324,"20241129",정규시즌,잠실학생체육관,SK,한국가스공사
325,"20241129",정규시즌,안양 정관장 아레나,KGC,KCC
