"MATCH_SEQ_NO","MATCH_DE","HOME_TEAM_NM","AWAY_TEAM_NM","STDM_NM","SPORTS_VIEWNG_NMPR_CO"
530,"20230825",KIA,한화,광주,8457.00000
531,"20230825",롯데,KT,사직,10709.00000
532,"20230825",NC,LG,창원,9288.00000
533,"20230825",두산,SSG,잠실,8363.00000
534,"20230825",삼성,키움,대구,11135.00000
535,"20230826",KIA,한화,광주,16812.00000
536,"20230826",롯데,KT,사직,15657.00000
537,"20230826",NC,LG,창원,13484.00000
538,"20230826",두산,SSG,잠실,15101.00000
539,"20230826",삼성,키움,대구,17586.00000
540,"20230827",KIA,한화,광주,12627.00000
541,"20230827",롯데,KT,사직,10735.00000
542,"20230827",NC,LG,창원,8771.00000
543,"20230827",두산,SSG,잠실,11300.00000
544,"20230827",삼성,키움,대구,13461.00000
545,"20230830",SSG,키움,문학,7809.00000
546,"20230831",한화,롯데,한밭,7179.00000
547,"20230831",KIA,NC,광주,7152.00000
548,"20230831",LG,두산,잠실,17859.00000
549,"20230831",KT,삼성,수원,8071.00000
550,"20230831",SSG,키움,문학,9780.00000
551,"20230901",LG,한화,잠실,20381.00000
552,"20230901",SSG,KIA,문학,17281.00000
553,"20230901",키움,KT,고척,3746.00000
554,"20230901",삼성,NC,대구,12843.00000
555,"20230902",LG,한화,잠실,23574.00000
556,"20230902",SSG,KIA,문학,23000.00000
557,"20230902",키움,KT,고척,6731.00000
558,"20230902",삼성,NC,대구,20468.00000
559,"20230903",LG,한화,잠실,22858.00000
560,"20230903",SSG,KIA,문학,23000.00000
561,"20230903",키움,KT,고척,5778.00000
562,"20230903",삼성,NC,대구,14601.00000
563,"20230903",롯데,두산,사직,11436.00000
564,"20230904",롯데,두산,사직,4621.00000
565,"20230905",KT,LG,수원,10153.00000
566,"20230905",한화,SSG,한밭,5124.00000
567,"20230905",롯데,삼성,울산,5999.00000
568,"20230905",NC,키움,창원,3511.00000
569,"20230906",두산,KIA,잠실,20468.00000
570,"20230906",KT,LG,수원,10075.00000
571,"20230906",한화,SSG,한밭,7213.00000
572,"20230906",롯데,삼성,울산,6380.00000
573,"20230906",NC,키움,창원,4269.00000
574,"20230907",두산,KIA,잠실,21838.00000
575,"20230907",KT,LG,수원,10799.00000
576,"20230907",한화,SSG,한밭,7236.00000
577,"20230907",롯데,삼성,울산,7156.00000
578,"20230907",NC,키움,창원,4780.00000
579,"20230908",키움,한화,고척,7715.00000
580,"20230908",KIA,LG,광주,12280.00000
581,"20230908",NC,롯데,창원,12684.00000
582,"20230908",KT,SSG,수원,7200.00000
583,"20230908",두산,삼성,잠실,15991.00000
584,"20230909",키움,한화,고척,9962.00000
585,"20230909",키움,한화,고척,10028.00000
586,"20230909",KIA,LG,광주,11820.00000
