MATCH_SEQ_NO,LEA_NM,MATCH_DE,HOME_TEAM_NM,AWAY_TEAM_NM,STDM_NM,SPORTS_VIEWNG_NMPR_CO
555,K리그1,20241103,대구,제주,대구iM뱅크PARK,11940.0
556,K리그1,20240706,대구,포항,대구iM뱅크PARK,11881.0
557,K리그1,20240921,대구,서울,대구iM뱅크PARK,11837.0
558,K리그1,20241124,대구,인천,대구iM뱅크PARK,11812.0
559,K리그1,20240525,전북,김천,전주 월드컵,11726.0
560,K리그2,20240331,수원,부산,수원 월드컵,11707.0
561,K리그2,20240622,수원,성남,수원 월드컵,11684.0
562,K리그2,20240518,수원,부천,수원 월드컵,11592.0
563,K리그1,20240330,인천,대전,인천 전용,11581.0
564,K리그1,20240622,강원,김천,강릉하이원아레나,11578.0
565,K리그1,20240616,전북,인천,전주 월드컵,11477.0
566,K리그1,20240501,대구,울산,대구iM뱅크PARK,11466.0
567,K리그1,20241123,강원,포항,강릉하이원아레나,11426.0
568,K리그1,20240727,대구,대전,대구iM뱅크PARK,11373.0
569,K리그1,20240421,대구,대전,대구iM뱅크PARK,11330.0
570,K리그2,20240630,수원,안산,수원 월드컵,11286.0
571,K리그1,20240413,전북,광주,전주 월드컵,11229.0
572,K리그1,20240927,대전,울산,대전 월드컵,11219.0
573,K리그1,20240407,전북,강원,전주 월드컵,11215.0
574,K리그2,20240428,수원,경남,수원 월드컵,11109.0
575,K리그2,20240525,수원,서울E,수원 월드컵,11045.0
576,K리그1,20240309,포항,대구,포항 스틸야드,10930.0
577,K리그1,20240407,대전,포항,대전 월드컵,10761.0
578,K리그1,20240721,대구,광주,대구iM뱅크PARK,10721.0
579,K리그1,20240811,포항,서울,포항 스틸야드,10719.0
580,K리그1,20240720,강원,제주,강릉하이원아레나,10710.0
581,K리그1,20240824,포항,대구,포항 스틸야드,10691.0
582,K리그2,20240407,충북청주,수원,청주 종합,10635.0
583,K리그2,20241006,수원,안양,용인 미르,10632.0
584,K리그1,20240622,대구,전북,대구iM뱅크PARK,10540.0
585,K리그1,20240518,대전,인천,대전 월드컵,10535.0
586,K리그2,20240713,천안,수원,천안 종합,10432.0
587,K리그1,20240707,대전,전북,대전 월드컵,10378.0
588,K리그1,20240707,강원,광주,강릉하이원아레나,10334.0
589,K리그1,20240721,인천,수원FC,인천 전용,10303.0
590,K리그1,20240626,울산,대구,울산 문수,10273.0
591,K리그2,20240831,충북청주,수원,청주 종합,10215.0
592,K리그1,20240331,강원,서울,춘천 송암,10144.0
593,K리그1,20240501,인천,전북,인천 전용,10094.0
594,K리그1,20240506,제주,대구,제주 월드컵,10033.0
595,K리그2,20240309,충남아산,부천,아산 이순신,10022.0
596,K리그1,20240616,대구,제주,대구iM뱅크PARK,9885.0
597,K리그2,20240914,수원,천안,용인 미르,9820.0
598,K리그1,20240816,대구,김천,대구iM뱅크PARK,9817.0
599,K리그1,20240615,강원,수원FC,춘천 송암,9704.0
600,K리그1,20240602,대전,대구,대전 월드컵,9649.0
601,K리그1,20240512,포항,제주,포항 스틸야드,9577.0
